country,year,air_quality_index,population
Afghanistan,2017,,36296111.0
Afghanistan,2018,61.8,37171922.0
Afghanistan,2019,58.8,38041757.0
Afghanistan,2020,46.5,38928341.0
Afghanistan,2021,37.5,39835428.0
Albania,2017,,2873457.0
Albania,2018,,2866376.0
Albania,2019,,2854191.0
Albania,2020,16.0,2837849.0
Albania,2021,12.5,2811666.0
Algeria,2017,,41389174.0
Algeria,2018,,42228415.0
Algeria,2019,21.2,43053054.0
Algeria,2020,20.2,43851043.0
Algeria,2021,20.0,44616626.0
Andorra,2017,,76997.0
Andorra,2018,,77008.0
Andorra,2019,,77146.0
Andorra,2020,7.4,77265.0
Andorra,2021,7.3,77354.0
Angola,2017,,29816769.0
Angola,2018,,30809787.0
Angola,2019,15.9,31825299.0
Angola,2020,13.0,32866268.0
Angola,2021,11.0,33933611.0
Argentina,2017,,44044811.0
Argentina,2018,,44494502.0
Argentina,2019,12.4,44938712.0
Argentina,2020,14.2,45376763.0
Argentina,2021,9.34,45808747.0
Armenia,2017,,2944789.0
Armenia,2018,,2951741.0
Armenia,2019,28.65,2957728.0
Armenia,2020,25.75,2963234.0
Armenia,2021,35.3,2968128.0
Australia,2017,5.966666666666667,24601860.0
Australia,2018,6.272881355932204,24982688.0
Australia,2019,7.415789473684211,25365745.0
Australia,2020,6.660919540229885,25693267.0
Australia,2021,5.417757009345795,25739256.0
Austria,2017,12.004999999999999,8797566.0
Austria,2018,13.542857142857141,8840521.0
Austria,2019,11.216129032258063,8879920.0
Austria,2020,10.262162162162161,8916864.0
Austria,2021,10.709756097560977,8956279.0
Azerbaijan,2017,,9854033.0
Azerbaijan,2018,,9939771.0
Azerbaijan,2019,,10024283.0
Azerbaijan,2020,,10093121.0
Azerbaijan,2021,17.6,10145212.0
Bahamas,2017,,
Bahamas,2018,,
Bahamas,2019,3.3,
Bahamas,2020,,
Bahamas,2021,4.8,
Bahrain,2017,62.5,1494077.0
Bahrain,2018,59.8,1569440.0
Bahrain,2019,46.8,1641164.0
Bahrain,2020,39.7,1701583.0
Bahrain,2021,49.8,1748295.0
Bangladesh,2017,79.7,159685421.0
Bangladesh,2018,97.1,161376713.0
Bangladesh,2019,83.3,163046173.0
Bangladesh,2020,71.0,164689383.0
Bangladesh,2021,47.86,166303494.0
Belgium,2017,11.939473684210526,11375158.0
Belgium,2018,12.65,11427054.0
Belgium,2019,11.44090909090909,11488980.0
Belgium,2020,9.70204081632653,11544241.0
Belgium,2021,11.552727272727273,11587882.0
Bonaire,2017,,
Bonaire,2018,,
Bonaire,2019,,
Bonaire,2020,,
Bonaire,2021,5.1,
Bosnia Herzegovina,2017,,
Bosnia Herzegovina,2018,45.699999999999996,
Bosnia Herzegovina,2019,36.43333333333333,
Bosnia Herzegovina,2020,34.916666666666664,
Bosnia Herzegovina,2021,32.04347826086956,
Brazil,2017,13.52,207833825.0
Brazil,2018,16.15,209469320.0
Brazil,2019,15.407692307692308,211049519.0
Brazil,2020,14.63888888888889,212559409.0
Brazil,2021,12.781818181818181,213993441.0
Bulgaria,2017,19.400000000000002,7075947.0
Bulgaria,2018,23.266666666666666,7025037.0
Bulgaria,2019,22.0,6975761.0
Bulgaria,2020,19.9,6934015.0
Bulgaria,2021,15.575000000000001,6899125.0
Cambodia,2017,20.8,16009413.0
Cambodia,2018,20.1,16249795.0
Cambodia,2019,21.1,16486542.0
Cambodia,2020,21.1,16718971.0
Cambodia,2021,19.8,16946446.0
Canada,2017,6.627272727272727,36545236.0
Canada,2018,7.301785714285714,37065084.0
Canada,2019,6.8123376623376615,37601230.0
Canada,2020,6.655625000000001,38037204.0
Canada,2021,8.167699115044249,38246108.0
Cape Verde,2017,,
Cape Verde,2018,,
Cape Verde,2019,,
Cape Verde,2020,,
Cape Verde,2021,5.1,
Chad,2017,,15016761.0
Chad,2018,,15477727.0
Chad,2019,,15946882.0
Chad,2020,,16425859.0
Chad,2021,47.349999999999994,16914985.0
Chile,2017,19.925,18470435.0
Chile,2018,19.366666666666667,18729166.0
Chile,2019,19.006976744186044,18952035.0
Chile,2020,15.96,19116209.0
Chile,2021,18.581132075471697,19212362.0
China,2017,43.55,1396215000.0
China,2018,38.690934065934066,1402760000.0
China,2019,36.24778067885117,1407745000.0
China,2020,32.72198952879581,1411100000.0
China,2021,29.7182,1412360000.0
Colombia,2017,15.7,48909844.0
Colombia,2018,13.9,49661056.0
Colombia,2019,13.833333333333334,50339443.0
Colombia,2020,15.133333333333335,50882884.0
Colombia,2021,12.875,51265841.0
Costa Rica,2017,,4949955.0
Costa Rica,2018,,4999443.0
Costa Rica,2019,10.4,5047561.0
Costa Rica,2020,8.2,5094114.0
Costa Rica,2021,7.8,5139053.0
Croatia,2017,15.483333333333334,4124531.0
Croatia,2018,16.433333333333334,4087843.0
Croatia,2019,14.683333333333335,4065253.0
Croatia,2020,13.7,4047680.0
Croatia,2021,13.277777777777779,3899000.0
Cyprus,2017,15.5,1179685.0
Cyprus,2018,16.22,1189262.0
Cyprus,2019,16.366666666666667,1198574.0
Cyprus,2020,13.666666666666666,1207361.0
Cyprus,2021,13.857142857142858,1215588.0
Czech Republic,2017,19.922222222222224,10594438.0
Czech Republic,2018,21.51388888888889,10629928.0
Czech Republic,2019,15.446153846153846,10671870.0
Czech Republic,2020,13.8,10697858.0
Czech Republic,2021,15.741860465116279,10703446.0
Denmark,2017,,5764980.0
Denmark,2018,,5793636.0
Denmark,2019,9.6,5814422.0
Denmark,2020,9.4,5831404.0
Denmark,2021,9.700000000000001,5856733.0
Ecuador,2017,,16785356.0
Ecuador,2018,,17084359.0
Ecuador,2019,7.199999999999999,17373657.0
Ecuador,2020,6.25,17643060.0
Ecuador,2021,6.300000000000001,17888474.0
Egypt,2017,,
Egypt,2018,,
Egypt,2019,18.0,
Egypt,2020,,
Egypt,2021,29.1,
Estonia,2017,4.083333333333333,1317384.0
Estonia,2018,6.928571428571429,1321977.0
Estonia,2019,6.35,1326855.0
Estonia,2020,5.275,1329479.0
Estonia,2021,5.4375,1329254.0
Ethiopia,2017,26.9,106399926.0
Ethiopia,2018,27.1,109224410.0
Ethiopia,2019,20.1,112078727.0
Ethiopia,2020,14.7,114963583.0
Ethiopia,2021,15.6,117876226.0
Finland,2017,4.76,5508214.0
Finland,2018,5.958333333333333,5515525.0
Finland,2019,5.0875,5521606.0
Finland,2020,4.811111111111111,5529543.0
Finland,2021,5.159090909090909,5541696.0
France,2017,11.133333333333333,66918020.0
France,2018,10.719148936170212,67101930.0
France,2019,9.552586206896551,67248926.0
France,2020,8.842957746478874,67379908.0
France,2021,9.405357142857142,67499343.0
Georgia,2017,,3728004.0
Georgia,2018,,3726549.0
Georgia,2019,20.1,3720161.0
Georgia,2020,22.900000000000002,3722716.0
Georgia,2021,23.166666666666668,3708610.0
Germany,2017,12.384482758620688,82657002.0
Germany,2018,13.119834710743802,82905782.0
Germany,2019,10.742176870748299,83092962.0
Germany,2020,9.395604395604396,83160871.0
Germany,2021,9.854,83129285.0
Ghana,2017,,29121464.0
Ghana,2018,,29767108.0
Ghana,2019,30.3,30417858.0
Ghana,2020,26.9,31072945.0
Ghana,2021,26.6,31732128.0
Greece,2017,,10754679.0
Greece,2018,,10732882.0
Greece,2019,18.04285714285714,10721582.0
Greece,2020,17.004545454545454,10700556.0
Greece,2021,17.787499999999998,10664568.0
Grenada,2017,,110874.0
Grenada,2018,,111449.0
Grenada,2019,,112002.0
Grenada,2020,,112519.0
Grenada,2021,5.5,113015.0
Guatemala,2017,,16087418.0
Guatemala,2018,,16346950.0
Guatemala,2019,20.2,16604026.0
Guatemala,2020,19.2,16858333.0
Guatemala,2021,18.8,17109746.0
Honduras,2017,,9429016.0
Honduras,2018,,9587523.0
Honduras,2019,,9746115.0
Honduras,2020,,9904608.0
Honduras,2021,11.8,10062994.0
Hong Kong SAR,2017,21.8,
Hong Kong SAR,2018,20.2,
Hong Kong SAR,2019,20.3,
Hong Kong SAR,2020,15.4,
Hong Kong SAR,2021,16.85,
Hungary,2017,,9787966.0
Hungary,2018,16.716666666666665,9775564.0
Hungary,2019,15.399999999999999,9771141.0
Hungary,2020,14.622727272727273,9750149.0
Hungary,2021,15.97391304347826,9709886.0
Iceland,2017,5.800000000000001,343400.0
Iceland,2018,4.6000000000000005,352721.0
Iceland,2019,6.275,360563.0
Iceland,2020,6.875,366463.0
Iceland,2021,5.15,372295.0
India,2017,86.41538461538462,1338676779.0
India,2018,72.15744680851064,1352642283.0
India,2019,55.580769230769235,1366417756.0
India,2020,51.12929292929293,1380004385.0
India,2021,51.38515625,1393409033.0
Indonesia,2017,29.7,264650969.0
Indonesia,2018,29.466666666666665,267670549.0
Indonesia,2019,40.4,270625567.0
Indonesia,2020,22.246666666666666,273523621.0
Indonesia,2021,18.9037037037037,276361788.0
Iran,2017,34.0,
Iran,2018,22.30666666666667,
Iran,2019,22.42413793103448,
Iran,2020,25.030555555555555,
Iran,2021,26.259322033898304,
Iraq,2017,,37552789.0
Iraq,2018,,38433604.0
Iraq,2019,39.6,39309789.0
Iraq,2020,,40222503.0
Iraq,2021,49.7,41179351.0
Ireland,2017,8.0,4807388.0
Ireland,2018,9.5,4867316.0
Ireland,2019,8.828571428571427,4934340.0
Ireland,2020,7.663636363636363,4985674.0
Ireland,2021,8.636842105263158,5028230.0
Israel,2017,18.786956521739132,8713300.0
Israel,2018,19.391304347826086,8882800.0
Israel,2019,19.975757575757576,9054000.0
Israel,2020,16.894444444444446,9215100.0
Israel,2021,18.769565217391303,9364000.0
Italy,2017,19.12857142857143,60536709.0
Italy,2018,16.314285714285713,60421760.0
Italy,2019,14.752941176470587,59729081.0
Italy,2020,15.444262295081968,59449527.0
Italy,2021,14.229310344827587,59066225.0
Japan,2017,11.850873362445414,126972000.0
Japan,2018,11.811506276150627,126811000.0
Japan,2019,11.151201478743069,126633000.0
Japan,2020,9.712098298676748,126261000.0
Japan,2021,8.908885542168674,125681593.0
Jordan,2017,,9785840.0
Jordan,2018,,9965322.0
Jordan,2019,18.3,10101697.0
Jordan,2020,14.9,10203140.0
Jordan,2021,16.5,10269022.0
Kazakhstan,2017,,18037776.0
Kazakhstan,2018,,18276452.0
Kazakhstan,2019,23.6,18513673.0
Kazakhstan,2020,30.599999999999998,18755666.0
Kazakhstan,2021,29.225925925925928,19002586.0
Kenya,2017,,50221146.0
Kenya,2018,,51392570.0
Kenya,2019,,52573967.0
Kenya,2020,14.7,53771300.0
Kenya,2021,14.3,54985702.0
Kosovo,2017,31.7,1791003.0
Kosovo,2018,30.4,1797085.0
Kosovo,2019,20.457142857142856,1788878.0
Kosovo,2020,19.892307692307693,1790133.0
Kosovo,2021,13.03076923076923,1806279.0
Kuwait,2017,46.8,4056102.0
Kuwait,2018,56.0,4137314.0
Kuwait,2019,38.3,4207077.0
Kuwait,2020,34.0,4270563.0
Kuwait,2021,29.549999999999997,4328553.0
Kyrgyzstan,2017,,
Kyrgyzstan,2018,,
Kyrgyzstan,2019,33.2,
Kyrgyzstan,2020,43.5,
Kyrgyzstan,2021,54.599999999999994,
Laos,2017,,
Laos,2018,,
Laos,2019,23.1,
Laos,2020,22.4,
Laos,2021,21.5,
Lebanon,2017,,6819373.0
Lebanon,2018,,6859408.0
Lebanon,2019,,6855709.0
Lebanon,2020,,6825442.0
Lebanon,2021,25.7,6769151.0
Liechtenstein,2017,,37805.0
Liechtenstein,2018,,37918.0
Liechtenstein,2019,,38020.0
Liechtenstein,2020,,38137.0
Liechtenstein,2021,7.2,38254.0
Lithuania,2017,17.049999999999997,2828403.0
Lithuania,2018,15.316666666666668,2801543.0
Lithuania,2019,12.4,2794137.0
Lithuania,2020,9.4,2794885.0
Lithuania,2021,10.6,2795321.0
Luxembourg,2017,11.399999999999999,596336.0
Luxembourg,2018,11.25,607950.0
Luxembourg,2019,8.8,620001.0
Luxembourg,2020,8.475,630419.0
Luxembourg,2021,8.725,639070.0
Macao SAR,2017,,
Macao SAR,2018,21.2,
Macao SAR,2019,23.5,
Macao SAR,2020,17.8,
Macao SAR,2021,17.0,
Madagascar,2017,,25570511.0
Madagascar,2018,,26262313.0
Madagascar,2019,,26969306.0
Madagascar,2020,17.8,27691019.0
Madagascar,2021,18.1,28427333.0
Malaysia,2017,,31104655.0
Malaysia,2018,,31528033.0
Malaysia,2019,14.979999999999999,31949789.0
Malaysia,2020,13.531147540983607,32365998.0
Malaysia,2021,15.55,32776195.0
Malta,2017,,467999.0
Malta,2018,11.0,484630.0
Malta,2019,15.033333333333333,504062.0
Malta,2020,11.850000000000001,515332.0
Malta,2021,12.799999999999999,516869.0
Mexico,2017,22.37142857142857,124777326.0
Mexico,2018,18.955555555555556,126190782.0
Mexico,2019,17.892307692307693,127575529.0
Mexico,2020,17.215625,128932753.0
Mexico,2021,15.584444444444443,130262220.0
Mongolia,2017,66.5,3113788.0
Mongolia,2018,58.5,3170214.0
Mongolia,2019,38.6,3225166.0
Mongolia,2020,32.3,3278292.0
Mongolia,2021,15.128571428571428,3329282.0
Montenegro,2017,,622373.0
Montenegro,2018,,622227.0
Montenegro,2019,,622028.0
Montenegro,2020,,621306.0
Montenegro,2021,35.2,620173.0
Myanmar,2017,,53382521.0
Myanmar,2018,,53708318.0
Myanmar,2019,31.0,54045422.0
Myanmar,2020,29.4,54409794.0
Myanmar,2021,25.0,54806014.0
Nepal,2017,45.9,27632682.0
Nepal,2018,54.4,28095712.0
Nepal,2019,28.366666666666664,28608715.0
Nepal,2020,36.150000000000006,29136808.0
Nepal,2021,42.739999999999995,29674920.0
Netherlands,2017,10.508333333333333,17131296.0
Netherlands,2018,11.735999999999999,17231624.0
Netherlands,2019,11.331428571428573,17344874.0
Netherlands,2020,10.07948717948718,17441500.0
Netherlands,2021,11.353846153846153,17533405.0
New Caledonia,2017,,270000.0
New Caledonia,2018,,270650.0
New Caledonia,2019,,271300.0
New Caledonia,2020,3.7,271960.0
New Caledonia,2021,3.8,272620.0
New Zealand,2017,11.881818181818181,4813600.0
New Zealand,2018,9.290909090909091,4900600.0
New Zealand,2019,9.385714285714286,4979200.0
New Zealand,2020,8.584615384615384,5090200.0
New Zealand,2021,8.557142857142857,5122600.0
Nigeria,2017,,190873247.0
Nigeria,2018,,195874685.0
Nigeria,2019,,200963603.0
Nigeria,2020,,206139587.0
Nigeria,2021,33.0,211400704.0
North Macedonia,2017,,2074502.0
North Macedonia,2018,,2076217.0
North Macedonia,2019,32.4,2076694.0
North Macedonia,2020,25.975,2072531.0
North Macedonia,2021,21.075,2065092.0
Norway,2017,7.0125,5276968.0
Norway,2018,7.4875,5311916.0
Norway,2019,7.084615384615384,5347896.0
Norway,2020,6.04074074074074,5379475.0
Norway,2021,7.5633333333333335,5408320.0
Oman,2017,,4665926.0
Oman,2018,,4829476.0
Oman,2019,,4974992.0
Oman,2020,,5106622.0
Oman,2021,53.9,5223376.0
Pakistan,2017,70.3,207906210.0
Pakistan,2018,79.4,212228288.0
Pakistan,2019,64.97142857142858,216565317.0
Pakistan,2020,59.699999999999996,220892331.0
Pakistan,2021,69.88888888888889,225199929.0
Peru,2017,27.7,31444299.0
Peru,2018,28.0,31989265.0
Peru,2019,18.866666666666667,32510462.0
Peru,2020,17.14,32971846.0
Peru,2021,18.625,33359416.0
Philippines,2017,21.7,105172921.0
Philippines,2018,12.700000000000001,106651394.0
Philippines,2019,17.34,108116622.0
Philippines,2020,15.0,109581085.0
Philippines,2021,14.36,111046910.0
Poland,2017,22.35483870967742,37974826.0
Poland,2018,22.206451612903226,37974750.0
Poland,2019,19.6,37965475.0
Poland,2020,17.427397260273974,37899070.0
Poland,2021,18.726666666666667,37781024.0
Portugal,2017,9.227272727272727,10300300.0
Portugal,2018,7.8999999999999995,10283822.0
Portugal,2019,7.1000000000000005,10286263.0
Portugal,2020,6.605882352941176,10297081.0
Portugal,2021,7.040000000000001,10299423.0
Puerto Rico,2017,,3325286.0
Puerto Rico,2018,,3193354.0
Puerto Rico,2019,3.9,3193694.0
Puerto Rico,2020,3.7,3281538.0
Puerto Rico,2021,4.671428571428572,3263584.0
Qatar,2017,,2724727.0
Qatar,2018,,2781682.0
Qatar,2019,,2832071.0
Qatar,2020,44.3,2881060.0
Qatar,2021,38.2,2930524.0
Romania,2017,,19588715.0
Romania,2018,20.071428571428573,19473970.0
Romania,2019,17.662499999999998,19371648.0
Romania,2020,15.58888888888889,19257520.0
Romania,2021,16.430303030303033,19115146.0
Russia,2017,13.666666666666666,
Russia,2018,14.075,
Russia,2019,11.242857142857144,
Russia,2020,9.88888888888889,
Russia,2021,13.381818181818181,
Saudi Arabia,2017,,33101183.0
Saudi Arabia,2018,,33702757.0
Saudi Arabia,2019,21.0,34268529.0
Saudi Arabia,2020,29.950000000000003,34813867.0
Saudi Arabia,2021,30.225,35340680.0
Serbia,2017,24.5,7020858.0
Serbia,2018,23.9,6982604.0
Serbia,2019,23.55,6945235.0
Serbia,2020,26.335714285714285,6899126.0
Serbia,2021,28.358823529411765,6844078.0
Singapore,2017,13.3,5612253.0
Singapore,2018,14.8,5638676.0
Singapore,2019,19.0,5703569.0
Singapore,2020,11.8,5685807.0
Singapore,2021,13.8,5453566.0
Slovakia,2017,19.645454545454545,
Slovakia,2018,18.754545454545454,
Slovakia,2019,16.010714285714286,
Slovakia,2020,15.203571428571427,
Slovakia,2021,16.506451612903227,
Slovenia,2017,,2066388.0
Slovenia,2018,,2073894.0
Slovenia,2019,,2088385.0
Slovenia,2020,,2102419.0
Slovenia,2021,13.3,2107007.0
South Africa,2017,,57009751.0
South Africa,2018,,57792520.0
South Africa,2019,22.95862068965517,58558267.0
South Africa,2020,17.525000000000002,59308690.0
South Africa,2021,19.193181818181817,60041996.0
South Korea,2017,25.48732394366197,
South Korea,2018,24.120833333333334,
South Korea,2019,24.635779816513764,
South Korea,2020,18.65666666666667,
South Korea,2021,17.418666666666667,
Spain,2017,9.571739130434782,46593236.0
Spain,2018,8.895918367346939,46797754.0
Spain,2019,9.022222222222222,47134837.0
Spain,2020,9.438144329896907,47363419.0
Spain,2021,9.13358208955224,47326687.0
Sri Lanka,2017,,21444000.0
Sri Lanka,2018,32.0,21670000.0
Sri Lanka,2019,22.9,21803000.0
Sri Lanka,2020,17.116666666666667,21919000.0
Sri Lanka,2021,15.049999999999999,22156000.0
Sudan,2017,,40813398.0
Sudan,2018,,41801532.0
Sudan,2019,,42813237.0
Sudan,2020,,43849269.0
Sudan,2021,44.1,44909351.0
Sweden,2017,4.814285714285715,10057698.0
Sweden,2018,6.425,10175214.0
Sweden,2019,6.7625,10278887.0
Sweden,2020,6.3133333333333335,10353442.0
Sweden,2021,6.624,10415811.0
Switzerland,2017,10.042857142857143,8451840.0
Switzerland,2018,11.209999999999999,8514329.0
Switzerland,2019,10.305555555555555,8575280.0
Switzerland,2020,9.504545454545454,8636561.0
Switzerland,2021,9.942105263157895,8697723.0
Syria,2017,,
Syria,2018,,
Syria,2019,,
Syria,2020,,
Syria,2021,22.75,
Taiwan,2017,19.458823529411767,
Taiwan,2018,18.03529411764706,
Taiwan,2019,17.14090909090909,
Taiwan,2020,15.608695652173912,
Taiwan,2021,16.730434782608697,
Tajikistan,2017,,8880270.0
Tajikistan,2018,,9100847.0
Tajikistan,2019,,9321023.0
Tajikistan,2020,30.9,9537642.0
Tajikistan,2021,59.25,9749625.0
Thailand,2017,22.758333333333336,69209817.0
Thailand,2018,26.6375,69428454.0
Thailand,2019,25.39016393442623,69625581.0
Thailand,2020,23.711458333333336,69799978.0
Thailand,2021,22.28141592920354,69950844.0
Trinidad and Tobago,2017,,1384060.0
Trinidad and Tobago,2018,,1389841.0
Trinidad and Tobago,2019,,1394969.0
Trinidad and Tobago,2020,,1399491.0
Trinidad and Tobago,2021,6.633333333333333,1403374.0
Turkey,2017,,
Turkey,2018,23.916666666666668,
Turkey,2019,22.357499999999998,
Turkey,2020,21.273913043478263,
Turkey,2021,21.428301886792454,
Turkmenistan,2017,,5757667.0
Turkmenistan,2018,,5850902.0
Turkmenistan,2019,,5942094.0
Turkmenistan,2020,17.0,6031187.0
Turkmenistan,2021,20.4,6117933.0
U.S. Virgin Islands,2017,,
U.S. Virgin Islands,2018,,
U.S. Virgin Islands,2019,3.45,
U.S. Virgin Islands,2020,3.65,
U.S. Virgin Islands,2021,4.55,
USA,2017,8.905035971223022,
USA,2018,8.614191419141914,
USA,2019,8.011052631578949,
USA,2020,10.184568372803668,
USA,2021,10.265378221113881,
Uganda,2017,54.3,41166588.0
Uganda,2018,40.8,42729032.0
Uganda,2019,29.1,44269587.0
Uganda,2020,26.1,45741000.0
Uganda,2021,27.6,47123533.0
Ukraine,2017,9.8,44831135.0
Ukraine,2018,13.8,44622518.0
Ukraine,2019,16.6,44386203.0
Ukraine,2020,18.95,44132049.0
Ukraine,2021,17.26666666666667,43814581.0
United Arab Emirates,2017,,9487206.0
United Arab Emirates,2018,52.05,9630966.0
United Arab Emirates,2019,39.65,9770526.0
United Arab Emirates,2020,28.25,9890400.0
United Arab Emirates,2021,35.349999999999994,9991083.0
United Kingdom,2017,9.955555555555556,66058859.0
United Kingdom,2018,10.305084745762711,66460344.0
United Kingdom,2019,9.264601769911506,66836327.0
United Kingdom,2020,7.8201754385964914,67081000.0
United Kingdom,2021,8.294193548387096,67326569.0
Uruguay,2017,,3436645.0
Uruguay,2018,,3449290.0
Uruguay,2019,,3461731.0
Uruguay,2020,,3473727.0
Uruguay,2021,14.2,3485152.0
Uzbekistan,2017,,32388600.0
Uzbekistan,2018,34.3,32956100.0
Uzbekistan,2019,41.2,33580350.0
Uzbekistan,2020,29.9,34232050.0
Uzbekistan,2021,42.8,34915100.0
Vietnam,2017,34.7,94600643.0
Vietnam,2018,33.849999999999994,95545959.0
Vietnam,2019,31.675,96462108.0
Vietnam,2020,25.75,97338583.0
Vietnam,2021,24.533333333333335,98168829.0
